name,author,rating,total_review,type,current_price,first_price,book_url,asin
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,Matt Goldwasser,4.4,235,Paperback,27.88,79.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0118292IQLTSN5YA5PV&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2F1789807352%2Fref%3Dsr_1_25_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-25-spons%26psc%3D1,1789807352
SQL for Beginners: An Informative and In-depth Guide to SQL Programming,Chad Knowles,4.9,192,Paperback,15.89,15.89,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01871283OJ6XM4EKC4KU&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FSQL-Beginners-Informative-depth-Programming%2Fdp%2FB0BGNF4Q4W%2Fref%3Dsr_1_26_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-26-spons%26psc%3D1,B0BGNF4Q4W
"Microsoft Office 365: 11-In-1: The Definitive Illustrated Microsoft Office Guide. Master the Secrets of Word, Excel, Outlook, PowerPoint, Access, Teams, OneNote and OneDrive in Less Than 7 Days",Damon J. Burns,5.0,326,Paperback,19.99,19.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04559671DGHJEA2HYCFF&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-11-Illustrated%2Fdp%2FB0BP41763H%2Fref%3Dsr_1_27_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-27-spons%26psc%3D1,B0BP41763H
"Microsoft Office 365 for Beginners: 12 Books In 1. The Ultimate Guide to Master the Microsoft Suite the Quick & Easy Way | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and More",Jamie Keet,4.9,382,Paperback,21.99,21.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A047927126Q0MP82R5ZQK&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-Beginners-PowerPoint%2Fdp%2FB0BMT47B9L%2Fref%3Dsr_1_28_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-28-spons%26psc%3D1,B0BMT47B9L
SQL Pocket Guide: A Guide to SQL Usage,Alice Zhao,4.7,121,Paperback,28.49,29.99,https://www.amazon.com//SQL-Pocket-Guide-Usage/dp/1492090409/ref=sr_1_29?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-29,1492090409
SQL: Learn SQL (using MySQL) in One Day and Learn It Well. SQL for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 5),Book 5 of 7: Learn Coding Fast with Hands-On Project,4.5,910,Kindle,2.99,2.99,https://www.amazon.com//SQL-Beginners-Hands-Project-Project-ebook/dp/B07K374J19/ref=sr_1_30?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-30,B07K374J19
SQL Cookbook: Query Solutions and Techniques for All SQL Users,Robert de Graaf,4.6,141,Paperback,26.59,53.16,https://www.amazon.com//SQL-Cookbook-Query-Solutions-Techniques/dp/1492077445/ref=sr_1_31?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-31,1492077445
SQL Cookbook: Query Solutions and Techniques for Database Developers (Cookbooks (O'Reilly)),Anthony Molinaro,4.6,301,Paperback,,,https://www.amazon.com//SQL-Cookbook-Solutions-Techniques-Developers/dp/0596009763/ref=sr_1_32?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-32,0596009763
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,Matt Goldwasser,4.4,235,Paperback,27.88,79.99,https://www.amazon.com//SQL-Data-Analytics-efficient-analysis/dp/1789807352/ref=sr_1_33?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-33,1789807352
Simple SQL: Beginner’s Guide To Master SQL And Boost Career (Zero To Hero),Dane Wade,4.5,71,Kindle,0.00,0.00,https://www.amazon.com//Simple-SQL-Beginners-Master-Career-ebook/dp/B0B357WNV1/ref=sr_1_34?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-34,B0B357WNV1
SQL in a Nutshell: A Desktop Quick Reference,Regina Obe,4.5,5,Paperback,26.60,69.99,https://www.amazon.com//SQL-Nutshell-Desktop-Quick-Reference/dp/1492088862/ref=sr_1_35?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-35,1492088862
"SQL: Easy SQL Programming & Database Management For Beginners, Your Step-By-Step Guide To Learning The SQL Database (SQL Series Book 1)",Felix Alvaro,4.2,92,Kindle,0.00,0.00,https://www.amazon.com//SQL-Programming-Management-Step-Step-ebook/dp/B01MDV363Y/ref=sr_1_36?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-36,B01MDV363Y
SQL Server 2022 Query Performance Tuning: Troubleshoot and Optimize Query Performance,Grant Fritchey,5.0,2,Paperback,55.49,59.99,https://www.amazon.com//Server-2022-Query-Performance-Tuning/dp/1484288904/ref=sr_1_37?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-37,1484288904
SQL for Beginners: An Informative and In-depth Guide to SQL Programming,Chad Knowles,4.9,192,Paperback,15.89,15.89,https://www.amazon.com//SQL-Beginners-Informative-depth-Programming/dp/B0BGNF4Q4W/ref=sr_1_38?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-38,B0BGNF4Q4W
"SQL Server 2019 Administrator's Guide: A definitive guide for DBAs to implement, monitor, and maintain enterprise database solutions, 2nd Edition",Marek Chmel,4.3,39,Paperback,46.99,46.99,https://www.amazon.com//SQL-Server-2019-Administrators-Guide/dp/1789954320/ref=sr_1_39?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-39,1789954320
